period,respondent,respondent-name,type,type-name
2026-05-31T20,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T20,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T19,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T19,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T19,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T19,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T18,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T18,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T18,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T18,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T17,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T17,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T17,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T17,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T16,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T16,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T16,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T16,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T15,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T15,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T15,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T15,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T14,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T14,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T14,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T14,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T13,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T13,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T13,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T13,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T12,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T12,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T12,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T12,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T11,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T11,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T11,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T11,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T10,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T10,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T10,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T10,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T09,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T09,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T09,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T09,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T08,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T08,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T08,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T08,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T07,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T07,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T07,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T07,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T06,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T06,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T06,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T06,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T05,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T05,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T05,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T05,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T04,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T04,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T04,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T03,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T03,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T03,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T03,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T02,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T02,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T02,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T02,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T01,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T01,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T01,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T01,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
